topic,month,comp,n1,n2,units,vocab,jsd,cos,llr,top1,top2
AsylumSeekers,all,ER_R,1216,2180,tokens,7261,0.0612955,0.917553,20381.2,peopl;trump;presid;unit;old;border;immigr;muslim;migrant;omar,say;syrian;asylum;peopl;new;trump;migrant;border;';immigr
AsylumSeekers,all,ER_R,1216,2180,nouns,6050,0.0833303,0.9287682605403905222729576962592545896768569946,17752.3,people;u.s.;president;omar;border;country;migrant;year;trump;refugee,camp;child;migrant;asylum;people;trump;country;year;border;refugee
AsylumSeekers,all,ER_RC,1216,2080,tokens,7323,0.10373,0.80078,34816.5,muslim;old;presid;immigr;omar;border;migrant;report;trump;us,immigr;nation;camp;say;new;us;syrian;govern;'s;peopl
AsylumSeekers,all,ER_RC,1216,2080,nouns,6091,0.142889,0.7959998906718750433242348663043230772018432617,29570.2,united;u.s.;country;people;president;omar;border;migrant;year;trump,minister;border;family;asylum;government;people;country;year;child;camp
AsylumSeekers,all,ER_LC,1216,8065,tokens,12416,0.0963971,0.846883,46618.4,presid;countri;omar;immigr;border;migrant;us;state;report;trump,say;trump;countri;state;border;us;immigr;govern;new;migrant
AsylumSeekers,all,ER_LC,1216,8065,nouns,11106,0.129614,0.8748165849088447298953497011098079383373260498,40341.5,people;u.s.;president;country;omar;trump;migrant;refugee;year;border,family;asylum;child;government;country;trump;border;people;year;refugee
AsylumSeekers,all,ER_L,1216,1853,tokens,7091,0.0899774,0.842271,28340.9,peopl;unit;muslim;presid;old;countri;border;migrant;immigr;omar,countri;right;children;'s;new;border;presid;peopl;migrant;immigr
AsylumSeekers,all,ER_L,1216,1853,nouns,5856,0.115135,0.8729800428665581701892506316653452813625335693,23198.4,people;u.s.;president;trump;omar;country;border;migrant;refugee;year,government;child;u.s.;president;border;refugee;trump;people;year;country
AsylumSeekers,all,R_RC,2180,2080,tokens,8400,0.0545776,0.931313,25402.8,asylum;peopl;new;us;migrant;';state;border;immigr;trump,immigr;nation;peopl;govern;new;camp;say;state;us;syrian
AsylumSeekers,all,R_RC,2180,2080,nouns,6974,0.0765805,0.9313756852262939922582063445588573813438415527,21696.1,president;camp;child;migrant;asylum;trump;year;people;border;country,minister;family;asylum;border;child;camp;year;government;country;people
