k,comp1,comp2,Hop,comp,Features,bacc.protos,se.protos,bacc.svm,se.svm,n,corr,correlation,diff,by
8,R,C,2,R-C,BoW,0.5596,0.0028,0.7048,0.0045,45,0.56,moderate (.4 .6],0.1452,Ideology
8,R,C,2,R-C,SBERT,0.5869,0.0046,0.7156,0.0053,45,0.7967,strong (.6 .8],0.1287,Ideology
8,R,LC,3,R-LC,BoW,0.5545,0.0036,0.699,0.0065,45,0.7902,strong (.6 .8],0.1445,Ideology
8,R,LC,3,R-LC,SBERT,0.5682,0.0049,0.6969,0.0062,45,0.8802,very strong (.8 1],0.1287,Ideology
8,R,L,4,R-L,BoW,0.5642,0.0025,0.7118,0.0043,45,0.5072,moderate (.4 .6],0.1476,Ideology
8,R,L,4,R-L,SBERT,0.5662,0.0038,0.691,0.0042,45,0.4672,moderate (.4 .6],0.1248,Ideology
8,RC,C,1,RC-C,BoW,0.5285,0.0029,0.6249,0.0039,45,0.3988,low (.2 .4],0.0964,Ideology
8,RC,C,1,RC-C,SBERT,0.5343,0.0038,0.6134,0.0049,45,0.4761,moderate (.4 .6],0.079,Ideology
8,RC,LC,2,RC-LC,BoW,0.5226,0.0018,0.6075,0.0039,45,0.1168,negligible (-1 .2],0.0848,Ideology
8,RC,LC,2,RC-LC,SBERT,0.5216,0.0023,0.5978,0.0037,45,0.4711,moderate (.4 .6],0.0762,Ideology
8,RC,L,3,RC-L,BoW,0.5659,0.0032,0.71,0.0042,45,0.1888,negligible (-1 .2],0.1441,Ideology
8,RC,L,3,RC-L,SBERT,0.5928,0.0044,0.7236,0.0043,45,0.5148,moderate (.4 .6],0.1307,Ideology
8,C,LC,1,C-LC,BoW,0.5288,0.0024,0.6199,0.0035,45,0.2827,low (.2 .4],0.0911,Ideology
8,C,LC,1,C-LC,SBERT,0.5334,0.0029,0.6087,0.0031,45,0.187,negligible (-1 .2],0.0753,Ideology
8,C,L,2,C-L,BoW,0.5607,0.0033,0.7017,0.0034,45,0.1261,negligible (-1 .2],0.141,Ideology
8,C,L,2,C-L,SBERT,0.59,0.0036,0.7258,0.0038,45,0.0697,negligible (-1 .2],0.1358,Ideology
8,LC,L,1,LC-L,BoW,0.5463,0.0025,0.67,0.005,45,0.2953,low (.2 .4],0.1238,Ideology
8,LC,L,1,LC-L,SBERT,0.5643,0.0038,0.6805,0.0037,45,0.3242,low (.2 .4],0.1162,Ideology
16,ER,R,1,ER-R,BoW,0.5412,0.0044,0.5942,0.0063,45,0.4925,moderate (.4 .6],0.053,Ideology
16,ER,R,1,ER-R,SBERT,0.5629,0.005,0.6294,0.0057,45,0.6621,strong (.6 .8],0.0664,Ideology
16,ER,RC,2,ER-RC,BoW,0.6323,0.0055,0.7213,0.0067,45,0.5795,moderate (.4 .6],0.089,Ideology
16,ER,RC,2,ER-RC,SBERT,0.674,0.0067,0.7732,0.006,45,0.7227,strong (.6 .8],0.0992,Ideology
16,ER,C,3,ER-C,BoW,0.6406,0.0046,0.7328,0.0061,45,0.5919,moderate (.4 .6],0.0921,Ideology
16,ER,C,3,ER-C,SBERT,0.6881,0.0054,0.7962,0.0057,45,0.5983,moderate (.4 .6],0.1081,Ideology
16,ER,LC,4,ER-LC,BoW,0.6359,0.0043,0.7162,0.008,45,0.56,moderate (.4 .6],0.0804,Ideology
16,ER,LC,4,ER-LC,SBERT,0.6683,0.0052,0.7877,0.0054,45,0.5473,moderate (.4 .6],0.1194,Ideology
16,ER,L,5,ER-L,BoW,0.6132,0.0043,0.7078,0.0081,45,0.4906,moderate (.4 .6],0.0946,Ideology
16,ER,L,5,ER-L,SBERT,0.6222,0.0046,0.7275,0.0053,45,0.673,strong (.6 .8],0.1053,Ideology
16,R,RC,1,R-RC,BoW,0.5723,0.0033,0.6687,0.0043,45,0.6042,strong (.6 .8],0.0964,Ideology
16,R,RC,1,R-RC,SBERT,0.587,0.0048,0.672,0.0051,45,0.6636,strong (.6 .8],0.085,Ideology
16,R,C,2,R-C,BoW,0.5864,0.0037,0.7048,0.0045,45,0.6743,strong (.6 .8],0.1184,Ideology
16,R,C,2,R-C,SBERT,0.6107,0.0048,0.7156,0.0053,45,0.8527,very strong (.8 1],0.1049,Ideology
