Features,comp,Topic,k,Ideology,protos.random,n,comp1,comp2,Hop,protos,svm,diff,protos.diff,by
BoW,Apr-Aug,ClimateChange,32,C,0.5832,10,Apr,Aug,4,0.636,0.6693,0.0333,0.0528,Month
BoW,Apr-Aug,ClimateChange,32,ER,0.6132,10,Apr,Aug,4,0.5912,0.6036,0.0123,-0.022,Month
BoW,Apr-Aug,ClimateChange,32,L,0.5928,10,Apr,Aug,4,0.6406,0.7029,0.0624,0.0477,Month
BoW,Apr-Aug,ClimateChange,32,LC,0.5803,10,Apr,Aug,4,0.6348,0.698,0.0632,0.0545,Month
BoW,Apr-Aug,ClimateChange,32,R,0.6252,10,Apr,Aug,4,0.6756,0.7206,0.045,0.0504,Month
BoW,Apr-Aug,ClimateChange,32,RC,0.6261,10,Apr,Aug,4,0.6712,0.7059,0.0347,0.0451,Month
BoW,Apr-Aug,GunControl,4,C,0.571,10,Apr,Aug,4,0.6865,0.767,0.0805,0.1156,Month
BoW,Apr-Aug,GunControl,4,ER,0.5569,10,Apr,Aug,4,0.6522,0.6404,-0.0118,0.0953,Month
BoW,Apr-Aug,GunControl,4,L,0.5537,10,Apr,Aug,4,0.6698,0.7569,0.087,0.1161,Month
BoW,Apr-Aug,GunControl,4,LC,0.547,10,Apr,Aug,4,0.6652,0.7548,0.0896,0.1182,Month
BoW,Apr-Aug,GunControl,4,R,0.5578,10,Apr,Aug,4,0.6393,0.7783,0.139,0.0816,Month
BoW,Apr-Aug,GunControl,4,RC,0.5636,10,Apr,Aug,4,0.6825,0.7396,0.0571,0.1189,Month
BoW,Apr-Aug,GunControl,8,C,0.6047,10,Apr,Aug,4,0.7173,0.767,0.0497,0.1126,Month
BoW,Apr-Aug,GunControl,8,ER,0.5756,10,Apr,Aug,4,0.7112,0.6404,-0.0708,0.1356,Month
BoW,Apr-Aug,GunControl,8,L,0.6006,10,Apr,Aug,4,0.6812,0.7569,0.0756,0.0806,Month
BoW,Apr-Aug,GunControl,8,LC,0.593,10,Apr,Aug,4,0.6925,0.7548,0.0623,0.0994,Month
BoW,Apr-Aug,GunControl,8,R,0.5871,10,Apr,Aug,4,0.6737,0.7783,0.1046,0.0866,Month
BoW,Apr-Aug,GunControl,8,RC,0.5891,10,Apr,Aug,4,0.7036,0.7396,0.036,0.1145,Month
BoW,Apr-Aug,GunControl,16,C,0.6397,10,Apr,Aug,4,0.7288,0.767,0.0382,0.0891,Month
BoW,Apr-Aug,GunControl,16,ER,0.6124,10,Apr,Aug,4,0.7092,0.6404,-0.0688,0.0968,Month
BoW,Apr-Aug,GunControl,16,L,0.6249,10,Apr,Aug,4,0.7442,0.7569,0.0126,0.1193,Month
BoW,Apr-Aug,GunControl,16,LC,0.6177,10,Apr,Aug,4,0.7135,0.7548,0.0413,0.0958,Month
BoW,Apr-Aug,GunControl,16,R,0.6282,10,Apr,Aug,4,0.7262,0.7783,0.0522,0.0979,Month
BoW,Apr-Aug,GunControl,16,RC,0.6516,10,Apr,Aug,4,0.7304,0.7396,0.0093,0.0787,Month
BoW,Apr-Aug,GunControl,32,C,0.6868,10,Apr,Aug,4,0.75,0.767,0.017,0.0632,Month
BoW,Apr-Aug,GunControl,32,ER,0.6631,10,Apr,Aug,4,0.6967,0.6404,-0.0563,0.0335,Month
BoW,Apr-Aug,GunControl,32,L,0.6832,10,Apr,Aug,4,0.7725,0.7569,-0.0156,0.0893,Month
BoW,Apr-Aug,GunControl,32,LC,0.6572,10,Apr,Aug,4,0.7303,0.7548,0.0245,0.073,Month
BoW,Apr-Aug,GunControl,32,R,0.6616,10,Apr,Aug,4,0.7374,0.7783,0.0409,0.0758,Month
BoW,Apr-Aug,GunControl,32,RC,0.6844,10,Apr,Aug,4,0.7495,0.7396,-0.0098,0.065,Month
BoW,Apr-Aug,IllegalImmi,4,C,0.5405,10,Apr,Aug,4,0.604,0.7214,0.1174,0.0635,Month
BoW,Apr-Aug,IllegalImmi,4,ER,0.5404,10,Apr,Aug,4,0.5889,0.6932,0.1043,0.0486,Month
BoW,Apr-Aug,IllegalImmi,4,L,0.566,10,Apr,Aug,4,0.6453,0.7086,0.0633,0.0793,Month
BoW,Apr-Aug,IllegalImmi,4,LC,0.5037,10,Apr,Aug,4,0.6205,0.7416,0.1212,0.1168,Month
BoW,Apr-Aug,IllegalImmi,4,R,0.5149,10,Apr,Aug,4,0.6021,0.7578,0.1557,0.0871,Month
BoW,Apr-Aug,IllegalImmi,4,RC,0.5414,10,Apr,Aug,4,0.574,0.7021,0.128,0.0326,Month
BoW,Apr-Aug,IllegalImmi,8,C,0.5571,10,Apr,Aug,4,0.6135,0.7214,0.108,0.0564,Month
BoW,Apr-Aug,IllegalImmi,8,ER,0.5474,10,Apr,Aug,4,0.5856,0.6932,0.1076,0.0382,Month
BoW,Apr-Aug,IllegalImmi,8,L,0.5791,10,Apr,Aug,4,0.6676,0.7086,0.041,0.0885,Month
BoW,Apr-Aug,IllegalImmi,8,LC,0.546,10,Apr,Aug,4,0.6459,0.7416,0.0958,0.0999,Month
BoW,Apr-Aug,IllegalImmi,8,R,0.5339,10,Apr,Aug,4,0.611,0.7578,0.1467,0.0771,Month
BoW,Apr-Aug,IllegalImmi,8,RC,0.5663,10,Apr,Aug,4,0.6142,0.7021,0.0879,0.0479,Month
BoW,Apr-Aug,IllegalImmi,16,C,0.5555,10,Apr,Aug,4,0.6458,0.7214,0.0756,0.0903,Month
BoW,Apr-Aug,IllegalImmi,16,ER,0.569,10,Apr,Aug,4,0.6068,0.6932,0.0864,0.0378,Month
BoW,Apr-Aug,IllegalImmi,16,L,0.6235,10,Apr,Aug,4,0.6886,0.7086,0.02,0.0651,Month
BoW,Apr-Aug,IllegalImmi,16,LC,0.5819,10,Apr,Aug,4,0.6608,0.7416,0.0808,0.0789,Month
BoW,Apr-Aug,IllegalImmi,16,R,0.5638,10,Apr,Aug,4,0.6554,0.7578,0.1023,0.0916,Month
BoW,Apr-Aug,IllegalImmi,16,RC,0.5702,10,Apr,Aug,4,0.6487,0.7021,0.0534,0.0785,Month
BoW,Apr-Aug,IllegalImmi,32,C,0.6142,10,Apr,Aug,4,0.6709,0.7214,0.0505,0.0567,Month
BoW,Apr-Aug,IllegalImmi,32,ER,0.5932,10,Apr,Aug,4,0.6193,0.6932,0.0739,0.0261,Month
BoW,Apr-Aug,IllegalImmi,32,L,0.6581,10,Apr,Aug,4,0.6969,0.7086,0.0117,0.0388,Month
BoW,Apr-Aug,IllegalImmi,32,LC,0.6192,10,Apr,Aug,4,0.7034,0.7416,0.0383,0.0841,Month
BoW,Apr-Aug,IllegalImmi,32,R,0.6155,10,Apr,Aug,4,0.6773,0.7578,0.0804,0.0618,Month
BoW,Apr-Aug,IllegalImmi,32,RC,0.6203,10,Apr,Aug,4,0.6809,0.7021,0.0212,0.0605,Month
BoW,Apr-Aug,LGBT,4,C,0.5286,10,Apr,Aug,4,0.5788,0.6715,0.0926,0.0502,Month
BoW,Apr-Aug,LGBT,4,ER,0.4733,10,Apr,Aug,4,0.5419,0.5936,0.0517,0.0686,Month
BoW,Apr-Aug,LGBT,4,L,0.5311,10,Apr,Aug,4,0.6428,0.7578,0.115,0.1117,Month
BoW,Apr-Aug,LGBT,4,LC,0.5174,10,Apr,Aug,4,0.5849,0.6894,0.1045,0.0674,Month
BoW,Apr-Aug,LGBT,4,R,0.5188,10,Apr,Aug,4,0.5771,0.7084,0.1312,0.0583,Month
BoW,Apr-Aug,LGBT,4,RC,0.5149,10,Apr,Aug,4,0.578,0.6624,0.0844,0.0631,Month
BoW,Apr-Aug,LGBT,8,C,0.5481,10,Apr,Aug,4,0.6006,0.6715,0.0709,0.0525,Month
BoW,Apr-Aug,LGBT,8,ER,0.5231,10,Apr,Aug,4,0.5818,0.5936,0.0117,0.0587,Month
BoW,Apr-Aug,LGBT,8,L,0.5437,10,Apr,Aug,4,0.6527,0.7578,0.1052,0.1089,Month
BoW,Apr-Aug,LGBT,8,LC,0.5373,10,Apr,Aug,4,0.5946,0.6894,0.0948,0.0573,Month
BoW,Apr-Aug,LGBT,8,R,0.54,10,Apr,Aug,4,0.6152,0.7084,0.0931,0.0752,Month
BoW,Apr-Aug,LGBT,8,RC,0.5419,10,Apr,Aug,4,0.5945,0.6624,0.0679,0.0526,Month
BoW,Apr-Aug,LGBT,16,C,0.5408,10,Apr,Aug,4,0.5894,0.6715,0.0821,0.0485,Month
BoW,Apr-Aug,LGBT,16,ER,0.5377,10,Apr,Aug,4,0.5623,0.5936,0.0312,0.0246,Month
BoW,Apr-Aug,LGBT,16,L,0.5849,10,Apr,Aug,4,0.6921,0.7578,0.0657,0.1072,Month
BoW,Apr-Aug,LGBT,16,LC,0.559,10,Apr,Aug,4,0.6243,0.6894,0.0651,0.0653,Month
BoW,Apr-Aug,LGBT,16,R,0.5692,10,Apr,Aug,4,0.6463,0.7084,0.0621,0.0771,Month
