topic,ideology,comp,n1,n2,units,vocab,jsd,cos,llr,top1,top2
GunControl,LC,Aug_Sep,1915,774,nouns,4406,0.0987353,0.880118,15000.8,texas;control;dayton;police;people;violence;paso;el;trump;shooting,odessa;law;police;shooting;texas;control;year;people;violence;trump
GunControl,L,Jan_Feb,149,232,tokens,1997,0.142488,0.787074,4979.39,democrat;wall;school;us;border;new;nation;offic;polic;kill,polic;would;hear;emerg;democrat;republican;parkland;school;control;nation
GunControl,L,Jan_Feb,149,232,nouns,1349,0.164048,0.812149,3729.9,shooting;house;violence;trump;police;border;president;school;people;year,president;house;school;year;people;parkland;shooting;trump;violence;control
GunControl,L,Jan_Mar,149,233,tokens,2110,0.152842,0.716742,5436.34,hous;polic;;us;nation;offic;border;presid;school;trump,report;mass;attack;christchurch;mosqu;control;state;trump;zealand;school
GunControl,L,Jan_Mar,149,233,nouns,1387,0.183777,0.6708,4189.92,house;shooting;school;year;border;president;people;trump;violence;police,state;control;trump;violence;law;shooting;zealand;new;people;school
GunControl,L,Jan_Apr,149,148,tokens,1773,0.149915,0.781721,4255.67,polic;us;nation;school;offic;new;presid;trump;'s;border,'s;democrat;trump;two;said;school;nra;state;one;new
GunControl,L,Jan_Apr,149,148,nouns,1185,0.165635,0.850299,3074.17,house;trump;year;president;border;people;gun;school;violence;police,control;school;people;new;trump;nra;year;shooting;gun;violence
GunControl,L,Jan_May,149,154,tokens,1853,0.156892,0.746262,4444.08,wall;hous;trump;presid;nation;us;offic;new;border;polic,nation;new;nra;high;state;one;presid;law;two;student
GunControl,L,Jan_May,149,154,nouns,1229,0.179426,0.800364,3313.56,shooting;police;school;people;president;border;year;violence;gun;trump,president;gun;violence;nra;student;shooting;law;people;school;year
GunControl,L,Jan_Jun,149,161,tokens,1880,0.153016,0.734094,4583.17,hous;polic;us;nation;offic;presid;school;kill;border;trump,mass;democrat;senat;citi;law;virginia;kill;nra;state;beach
GunControl,L,Jan_Jun,149,161,nouns,1253,0.18011,0.790232,3532.53,shooting;police;president;border;people;school;year;violence;gun;trump,year;law;city;gun;violence;shooting;beach;nra;people;virginia
GunControl,L,Jan_Jul,149,113,tokens,1689,0.166153,0.69471,3892.19,wall;polic;hous;us;border;presid;nation;offic;trump;school,democrat;old;garlic;law;festiv;california;state;one;gilroy;polic
GunControl,L,Jan_Jul,149,113,nouns,1088,0.186944,0.786501,2851.33,house;police;school;people;president;border;year;gun;trump;violence,police;california;law;people;year;festival;gilroy;violence;gun;shooting
GunControl,L,Jan_Aug,149,843,tokens,3596,0.153953,0.783044,8133.87,wall;hous;polic;us;kill;school;nation;new;border;offic,ohio;republican;state;donald;call;kill;dayton;control;texa;white
GunControl,L,Jan_Aug,149,843,nouns,2547,0.185992,0.729931,6488.83,house;shooting;police;year;school;border;trump;people;president;violence,texas;dayton;president;control;el;people;violence;trump;shooting;paso
GunControl,L,Jan_Sep,149,330,tokens,2396,0.15802,0.751576,6369.5,wall;polic;hous;us;offic;nation;new;school;border;presid,report;one;presid;call;republican;law;odessa;new;state;beto
GunControl,L,Jan_Sep,149,330,nouns,1608,0.189795,0.711083,4954.52,house;shooting;people;president;police;school;border;trump;year;violence,year;law;beto;state;violence;control;people;trump;texas;shooting
GunControl,L,Feb_Mar,232,233,tokens,2250,0.148871,0.708912,6757.9,would;emerg;nation;democrat;presid;republican;;school;trump;parkland,kill;mass;christchurch;state;two;attack;mosqu;school;zealand;trump
GunControl,L,Feb_Mar,232,233,nouns,1485,0.181878,0.656904,5305.05,president;year;school;shooting;parkland;house;people;control;trump;violence,control;state;shooting;law;violence;zealand;people;new;trump;school
GunControl,L,Feb_Apr,232,148,tokens,1944,0.154192,0.73868,5293.28,'s;emerg;control;nation;school;democrat;republican;parkland;trump;presid,report;'s;state;nra;trump;new;school;kill;two;democrat
GunControl,L,Feb_Apr,232,148,nouns,1294,0.182705,0.739298,3981.65,president;control;people;house;year;trump;violence;shooting;school;parkland,group;house;new;trump;year;shooting;people;nra;violence;school
GunControl,L,Feb_May,232,154,tokens,2023,0.155909,0.721973,5388.87,hear;democrat;'s;emerg;presid;control;parkland;republican;nation;trump,nation;high;'s;presid;new;two;law;nra;student;state
GunControl,L,Feb_May,232,154,nouns,1326,0.191749,0.70106,4188.22,president;year;violence;house;school;people;shooting;control;parkland;trump,control;president;law;year;school;shooting;nra;people;violence;student
GunControl,L,Feb_Jun,232,161,tokens,2067,0.159528,0.711188,5916.64,'s;emerg;control;parkland;democrat;trump;nation;presid;school;republican,senat;citi;nra;state;law;kill;new;beach;'s;virginia
GunControl,L,Feb_Jun,232,161,nouns,1352,0.196479,0.659645,4568.92,president;year;people;house;school;control;shooting;parkland;trump;violence,cnn;year;law;nra;city;beach;shooting;people;violence;virginia
GunControl,L,Feb_Jul,232,113,tokens,1864,0.18076,0.647645,5052.45,'s;emerg;presid;control;trump;republican;school;democrat;parkland;nation,'s;new;garlic;state;polic;california;gilroy;festiv;kill;law
GunControl,L,Feb_Jul,232,113,nouns,1190,0.223634,0.621343,3873.9,president;control;people;school;parkland;year;house;shooting;trump;violence,garlic;police;california;law;year;people;shooting;festival;violence;gilroy
GunControl,L,Feb_Aug,232,843,tokens,3665,0.150983,0.740671,11054.7,would;hear;'s;emerg;school;democrat;republican;hous;parkland;nation,republican;ohio;kill;call;white;donald;texa;'s;dayton;state
GunControl,L,Feb_Aug,232,843,nouns,2591,0.185534,0.702337,8992.64,president;control;people;school;shooting;parkland;house;trump;year;violence,texas;dayton;control;president;el;trump;violence;shooting;people;paso
GunControl,L,Feb_Sep,232,330,tokens,2539,0.163312,0.704915,8509.69,gaetz;polic;school;republican;nation;would;emerg;parkland;presid;hear,check;report;presid;new;odessa;law;republican;state;call;beto
GunControl,L,Feb_Sep,232,330,nouns,1716,0.199921,0.677994,6831.61,president;control;parkland;shooting;school;people;house;trump;violence;year,year;beto;violence;control;people;trump;texas;law;state;shooting
GunControl,L,Mar_Apr,233,148,tokens,1989,0.137121,0.762249,4646.74,report;mass;christchurch;attack;school;mosqu;control;trump;'s;zealand,nation;mass;;'s;nra;democrat;act;school;trump;report
GunControl,L,Mar_Apr,233,148,nouns,1318,0.162298,0.736516,3556.63,control;state;law;school;shooting;people;zealand;trump;new;violence,house;group;new;nra;people;trump;violence;school;shooting;year
GunControl,L,Mar_May,233,154,tokens,2066,0.147186,0.711619,5055.67,ardern;report;mass;mosqu;state;trump;attack;christchurch;zealand;control,us;nation;old;control;high;state;presid;;nra;student
GunControl,L,Mar_May,233,154,nouns,1355,0.175222,0.6798,3867.79,state;control;people;school;trump;zealand;shooting;new;violence;law,control;president;law;people;year;violence;nra;school;student;shooting
GunControl,L,Mar_Jun,233,161,tokens,2124,0.149885,0.697451,5490.38,report;kill;mass;school;attack;mosqu;christchurch;control;trump;zealand,cnn;time;senat;beach;virginia;nra;citi;democrat;mass;kill
GunControl,L,Mar_Jun,233,161,nouns,1410,0.181273,0.677365,4257.55,control;violence;law;new;shooting;trump;zealand;school;people;state,cnn;year;law;nra;shooting;city;violence;beach;virginia;people
GunControl,L,Mar_Jul,233,113,tokens,1942,0.168545,0.644106,4661.07,ardern;report;mass;christchurch;attack;control;mosqu;trump;school;zealand,offic;mass;democrat;;old;garlic;polic;california;festiv;gilroy
GunControl,L,Mar_Jul,233,113,nouns,1247,0.195353,0.648703,3473.09,state;trump;control;violence;school;shooting;zealand;people;new;law,garlic;police;year;gilroy;california;festival;law;violence;shooting;people
GunControl,L,Mar_Aug,233,843,tokens,3709,0.137383,0.709778,10527.7,kill;christchurch;attack;mosqu;control;state;zealand;law;school;new,republican;donald;state;call;kill;dayton;control;texa;;white
GunControl,L,Mar_Aug,233,843,nouns,2635,0.179708,0.642625,8908.32,control;trump;state;zealand;new;shooting;school;people;law;violence,texas;dayton;control;people;paso;violence;president;shooting;el;trump
GunControl,L,Mar_Sep,233,330,tokens,2582,0.155526,0.696526,8332.47,ardern;report;year;trump;school;two;christchurch;mosqu;zealand;attack,weapon;report;presid;odessa;trump;year;beto;democrat;call;republican
GunControl,L,Mar_Sep,233,330,nouns,1734,0.197965,0.638584,6840.39,control;state;trump;law;people;zealand;school;violence;shooting;new,year;beto;control;trump;people;violence;state;law;shooting;texas
GunControl,L,Apr_May,148,154,tokens,1741,0.139153,0.79018,3816.67,act;state;'s;report;nra;democrat;one;two;new;trump,high;state;presid;nra;law;new;student;'s;one;two
GunControl,L,Apr_May,148,154,nouns,1117,0.160449,0.77618,2748.12,house;group;new;trump;nra;people;school;year;shooting;violence,control;president;shooting;law;year;nra;people;violence;student;school
