k,comp1,comp2,Hop,comp,Features,bacc.protos,se.protos,bacc.svm,se.svm,n,corr,correlation,diff,by
4,Mar,Sep,6,Mar-Sep,BoW,0.6079,0.0095,0.7015,0.0101,30,0.8956,very strong (.8 1],0.0937,Month
4,Mar,Sep,6,Mar-Sep,SBERT,0.5986,0.0077,0.6625,0.0078,30,0.8173,very strong (.8 1],0.0639,Month
4,Apr,May,1,Apr-May,BoW,0.5612,0.0044,0.6391,0.0067,30,0.4411,moderate (.4 .6],0.0779,Month
4,Apr,May,1,Apr-May,SBERT,0.5387,0.0053,0.5977,0.0065,30,0.7662,strong (.6 .8],0.059,Month
4,Apr,Jun,2,Apr-Jun,BoW,0.5985,0.0063,0.6755,0.0079,30,0.5829,moderate (.4 .6],0.077,Month
4,Apr,Jun,2,Apr-Jun,SBERT,0.5756,0.007,0.634,0.0078,30,0.6742,strong (.6 .8],0.0584,Month
4,Apr,Jul,3,Apr-Jul,BoW,0.5835,0.0079,0.6783,0.008,30,0.6874,strong (.6 .8],0.0948,Month
4,Apr,Jul,3,Apr-Jul,SBERT,0.5603,0.0061,0.6316,0.0087,30,0.7095,strong (.6 .8],0.0713,Month
4,Apr,Aug,4,Apr-Aug,BoW,0.5999,0.0081,0.6935,0.0093,30,0.7538,strong (.6 .8],0.0936,Month
4,Apr,Aug,4,Apr-Aug,SBERT,0.5863,0.0073,0.6528,0.009,30,0.8162,very strong (.8 1],0.0665,Month
4,Apr,Sep,5,Apr-Sep,BoW,0.603,0.0075,0.6961,0.0101,30,0.7352,strong (.6 .8],0.093,Month
4,Apr,Sep,5,Apr-Sep,SBERT,0.5839,0.007,0.6487,0.0079,30,0.7649,strong (.6 .8],0.0649,Month
4,May,Jun,1,May-Jun,BoW,0.5812,0.0066,0.6549,0.0064,30,0.7279,strong (.6 .8],0.0737,Month
4,May,Jun,1,May-Jun,SBERT,0.5656,0.0069,0.6226,0.007,30,0.7441,strong (.6 .8],0.057,Month
4,May,Jul,2,May-Jul,BoW,0.579,0.0062,0.6706,0.007,30,0.4957,moderate (.4 .6],0.0916,Month
4,May,Jul,2,May-Jul,SBERT,0.566,0.0054,0.6306,0.0056,30,0.4871,moderate (.4 .6],0.0646,Month
4,May,Aug,3,May-Aug,BoW,0.594,0.0093,0.69,0.0079,30,0.842,very strong (.8 1],0.0959,Month
4,May,Aug,3,May-Aug,SBERT,0.584,0.0091,0.651,0.0092,30,0.8916,very strong (.8 1],0.067,Month
4,May,Sep,4,May-Sep,BoW,0.6026,0.0079,0.6931,0.0081,30,0.7915,strong (.6 .8],0.0905,Month
4,May,Sep,4,May-Sep,SBERT,0.5847,0.0067,0.6531,0.0066,30,0.7753,strong (.6 .8],0.0684,Month
4,Jun,Jul,1,Jun-Jul,BoW,0.5646,0.0048,0.6321,0.0058,30,0.1445,negligible (-1 .2],0.0676,Month
